domain,message,label
no-reply@zoom-meetings-schedule.net,"Subject: REMINDER: Mandatory HR Policy Briefing (All Staff)

Content:

Topic: Updated Remote Work & Compensation Policy Time: Starting in 15 minutes... You have been invited to a mandatory briefing regarding changes to your contract and salary structure. Action Required: Attendance is tracked automatically. Please log in via the portal below to verify your identity before joining. [ 👉 Click Here to Join Meeting ] (Link goes to: www.corporate-login-secure.com) Sent via Zoom Scheduler",1
david.miller@tesla.com,"Subject: Approval needed: Q4 Logistics Invoice

Content:

Hi Sarah,

I've reviewed the attached invoice from DHL. It matches our records.

I have approved it in the SAP System. Please proceed with the standard payment cycle (Net 30 days). No rush, just wanted to clear the queue before I leave for the weekend.

Thanks, David",0
wang.jun@xiaomi.com,"主题: 审批通过：Q4 物流费用发票

内容:

Sarah，你好：

我已经审核了顺丰发来的这张发票，金额核对无误。

我已经在 OA系统 里点击了通过。请按照公司的标准流程（30天账期）安排付款。不着急，只是想在周末前把待办事项清空。

谢谢， 王军",0
david.miller@tesla-strategic-group.com,"Subject: Approval needed: Q4 Logistics Invoice

Content:

Hi Sarah,

I've reviewed the attached invoice from DHL. It matches our records.

I have approved it in the SAP System. Please proceed with the standard payment cycle (Net 30 days). No rush, just wanted to clear the queue before I leave for the weekend.

Thanks, David",0
david.miller@tesla-strategic-group.com,"Subject: Fwd: Strictly Confidential - Project Horizon Deposit
Sarah,

(Sent from my iPhone) See the thread below from our external counsel.

I am currently at the airport and cannot access the internal payment portal. We need to wire this deposit today to secure the acquisition deal.

Please handle this manually via wire transfer immediately. Do not discuss this with anyone else in the office yet, as the deal is not public.

Send me the confirmation once done.

David

---------- Forwarded message --------- From: Robert Smith (Partner) r.smith@latham-watkins-legal.com Date: Tue, Dec 16, 2025 at 9:15 AM Subject: URGENT: Deposit Deadline for Project Horizon To: David Miller david.miller@tesla-strategic-group.com

David, as discussed, the seller needs the $45,000 deposit by 5 PM today or they will walk away from the table. Please advise once the wire is sent...",1
accounting@intel-chips.com,"Subject: Monthly Statement - November 2025

Content:

Hi Finance Team,

Please find attached the statement for November.

Total Due: $12,500.00 Due Date: Dec 30, 2025

Please remit payment to our standard account on file (Wells Fargo ending in 8821).

Best, Accounting Team",0
caiwu@baosteel.com,"主题: 11月对账单及发票

内容:

财务部同仁，您好：

附件是11月份的对账单，请查收。

应付金额: ¥ 85,000.00 截止日期: 2025年12月30日

请按往常一样，汇款至我司在建设银行的备案账户（尾号 8821）。

祝好， 财务部",0
accounting@intel-chips-finance.com,"Subject: URGENT UPDATE: Invoice #9921 Payment Instructions

Content:

Hi Finance Team,

Regarding the invoice sent yesterday ($12,500.00):

Please DO NOT make the payment to our regular Wells Fargo account. That account is currently under a mandatory Tax Audit and is frozen for 48 hours.

To avoid shipment delays, please update your records and wire the funds to our subsidiary account listed in the attached PDF.

New Bank: Chase Bank (Subsidiary) Beneficiary: Global Tech Services LLC

Please send the wire confirmation slip immediately so I can release your cargo.

Regards, Accounting Manager",1
accounting@intel-chips-finance.com,"URGENT UPDATE: Invoice #9921 Payment Instructions

Content:

Hi Finance Team,

Regarding the invoice sent yesterday ($12,500.00):

Please DO NOT make the payment to our regular Wells Fargo account. That account is currently under a mandatory Tax Audit and is frozen for 48 hours.

To avoid shipment delays, please update your records and wire the funds to our subsidiary account listed in the attached PDF.

New Bank: Chase Bank (Subsidiary) Beneficiary: Global Tech Services LLC

Please send the wire confirmation slip immediately so I can release your cargo.

Regards, Accounting Manager",1
accounting@intel-chips-finance.com,"URGENT UPDATE: Invoice #9921 Payment Instructions

Content:

Hi Finance Team,

Regarding the invoice sent yesterday ($12,500.00):

Please DO NOT make the payment to our regular Wells Fargo account. That account is currently under a mandatory Tax Audit and is frozen for 48 hours.

To avoid shipment delays, please update your records and wire the funds to our subsidiary account listed in the attached PDF.

New Bank: Chase Bank (Subsidiary) Beneficiary: Global Tech Services LLC

Please send the wire confirmation slip immediately so I can release your cargo.

Regards, Accounting Manager",1
accounting@intel-chips-finance.com,"URGENT UPDATE: Invoice #9921 Payment Instructions

Content:

Hi Finance Team,

Regarding the invoice sent yesterday ($12,500.00):

Please DO NOT make the payment to our regular Wells Fargo account. That account is currently under a mandatory Tax Audit and is frozen for 48 hours.

To avoid shipment delays, please update your records and wire the funds to our subsidiary account listed in the attached PDF.

New Bank: Chase Bank (Subsidiary) Beneficiary: Global Tech Services LLC

Please send the wire confirmation slip immediately so I can release your cargo.

Regards, Accounting Manager",1
accounting@intel-chips.com,"Subject: Monthly Statement - November 2025

Content:

Hi Finance Team,

Please find attached the statement for November.

Total Due: $12,500.00 Due Date: Dec 30, 2025

Please remit payment to our standard account on file (Wells Fargo ending in 8821).

Best, Accounting Team",0
quarantine@messaging.microsoft.com,Subject: Spam Notification: 2 new messages heldContent:Microsoft 365 SecurityYou have 2 new messages in your hosted quarantine.SenderSubjectDatenewsletter@marketing.comWeekly UpdateDec 16unknown@spammer.netWin a PrizeDec 16[Review Quarantine] (Links to security.microsoft.com)This is an automated message.,0
security-alert@bankofamerica-verify-now.xyz,Subject: URGENT: Your account has been suspended due to suspicious activity!! Body: Dear Customer... [Link to fake site],1
no-reply@accounts.google.com,Subject: Security alert: New sign-in on iPhone Body: Hi Alex... [Specific login details],0
Elon Musk <emusk.tesla-ceo@gmail.com>,"Subject: Quick task

Body: Are you in the office? I'm in a meeting and can't take calls. I need you to handle a discrete vendor transfer for me immediately.

Sent from my iPhone",1
docusign@docs-verify.net,"Subject: Please DocuSign: Q4 Sales Contract.pdf

Body: DocuSign

Mike Ross sent you a document to review and sign.

[REVIEW DOCUMENT]

Powered by DocuSign",1
newsletter@marketing-gurus.com,"Subject: Re: Your account status (Open immediately!)

Body: Hey!

I noticed you haven't bought our course yet. Is your career not important to you?

We are closing enrollment in 2 hours. This is the last email I'll ever send you about this (unless you join).

[Join Now]

Unsubscribe here",0
steve.jobs@partner-company.com,"Subject: Re: Invoice #3002 and meeting notes

Body: Hi,

Following up on the below conversation. I've updated the invoice as discussed. Please check the attached Zip file before I send it to accounting.

Thanks, Steve

On Mon, Dec 8, 2025 at 9:00 AM, You wrote:

Hi Steve, thanks for the meeting! Just send over the invoice when you can...",1
notifications@google-drive-share.com,"Subject: Shared with you: ""Q4_Employee_Bonuses_Final.xlsx""

Body: Google Drive

HR Team has shared a protected file with you.

[OPEN IN SHEETS]

To view this document, you must sign in with your work email to verify clearance.",1
postmaster@security-check-online.net,"Subject: Quarantine Report: 3 messages held for [Your Email]

Body: Microsoft Security

You have 3 emails pending in your quarantine folder.

From: CEO (Subject: Urgent)

From: HR (Subject: Salary)

From: IT (Subject: Password)

[RELEASE MESSAGES] [DELETE ALL]

Emails will be deleted in 24 hours if no action is taken.",1
robert.smith@competitor-firm.com,"Subject: Fwd: Q1 Employee Layoff List & Severance Packages

Body: (No greeting, implying a hasty forward)

Sarah,

Here is the confidential list of employees being let go next month we discussed. Please don't share this with the team yet.

Attachment: Confidential_Staff_Cuts_Jan2026.docx.exe (Note the .exe hidden at the end)",1
online-billing@thameswater.co.uk,"Subject: Your bill for the period 12 Nov - 12 Dec is ready

Body: Hello James,

Your latest water bill is now available to view online.

Amount due: £34.50 Payment due date: 28 Dec 2025 Account number: 88291002

You have a Direct Debit set up, so payment will be taken automatically on or after the due date. You don't need to do anything.

[View Bill PDF]",0
it-security@company-okta-auth.com,"Subject: ACTION REQUIRED: Re-authenticate your VPN token

Body: Hi Team,

Due to a security patch applied this weekend, all employees must re-sync their Multi-Factor Authentication (MFA) token.

Your access to email and Slack will be suspended at 5:00 PM today if not validated.

[Sync Token Now]

IT Service Desk",1
notifications@linkedln-premium-alerts.net,"Body: Hi Member,

A recruiter from a Top 500 Company has been looking at your photos and profile history. They want to connect.

See who it is before they lose interest.

[REVEAL IDENTITY NOW]",1
invitations@linkedin.com,"Subject: John Smith sent you a connection request

Body: John Smith Software Engineer at Tech Corp

""Hi, I saw we both attended the Python conference last week. Would love to connect.""

[Accept] [Ignore] [View Profile]",0
no-reply@mcafee.com,"Subject: Your Weekly Security Report

Body: Hi Alex,

Here is your protection report for the week of Dec 8 - Dec 14.

Threats blocked: 0

Scans completed: 2

System status: Safe

[View full dashboard]",0
fundraising@unicef.org,"Subject: Annual Report: See how your support helped children in 2025

Body: Hi Sarah,

Thanks to donors like you, we provided clean water to over 100,000 communities this year.

As the year ends, please consider renewing your monthly support. You can view our audited financial report and impact statement below.

[Read the 2025 Impact Report]

Thank you, The UNICEF Team",0
hacker001@darkweb.net,"Subject: I have access to your device

Body: I hacked your computer 2 months ago. I have installed a RAT (Remote Access Trojan).

I have recorded you through your webcam while you were visiting adult websites. I have a video of you.

If you don't want me to send this video to all your contacts and Facebook friends, send $1,000 in Bitcoin to this address within 48 hours.

If you reply, I will release the video.",1
hr-dept@company-policy-update.net,"Subject: MANDATORY: Sign the new Code of Conduct by 5 PM

Body: All Staff,

The Board has updated the employee termination policy effective immediately.

You must read and sign the attached PDF to acknowledge you understand the new grounds for dismissal. Failure to sign may result in contract termination.

[Click here to sign PDF]",1
comments-noreply@docs.google.com,"Subject: Main_Menu_Setup.docx - ""Financial Team"" mentioned you in a comment

Body: Financial Team mentioned you in a comment in the following document:

""Hi, you have a pending payout of $3,500. Click the link below to confirm your crypto wallet address immediately or it expires: [Link to malicious site]""

[Reply] [Open]",1
comments-noreply@docs.google.com,"Subject: Q4_Budget_Review - ""Sarah Chen"" mentioned you in a comment

Body: Sarah Chen mentioned you in a comment:

""@Alex, can you verify these numbers on page 3 before I present this?""

[Reply] [Open]",0
comments-noreply@docs.google.com (Real Google Address!),"Subject: Main_Menu_Setup.docx - ""Financial Team"" mentioned you in a comment

Body: Financial Team mentioned you in a comment in the following document:

""Hi, you have a pending payout of $3,500. Click the link below to confirm your crypto wallet address immediately or it expires: [Link to malicious site]""

[Reply] [Open]",1
takedowns@shutterstock.com (Official Domain),"Subject: Unauthorized Use of Imagery - Reference 112003

Body: Dear Site Owner,

We have identified an image on your website that belongs to our catalog and appears to be used without a valid license.

Image URL: http://yoursite.com.tw/images/pic1.jpg

Please contact us to resolve this licensing issue or remove the image immediately.

Sincerely, Compliance Team",0
comments-noreply@docs.google.com,"Subject: Financial_Report.docx - ""Payout Support"" mentioned you in a comment

Body: Payout Support mentioned you in a comment in the following document:

""Hi, you have a pending crypto transfer of $3,500 waiting. Please verify your wallet address at the link below to release funds: [Link to malicious site]""

[Reply] [Open]",1
barrister_john_smith_772@hotmail.com,"Subject: URGENT BUSINESS PROPOSAL $$$

Body: Dearest Beloved,

I am Barrister John Smith. I am the personal attorney to a deceased client, Mr. Wang, who worked for the oil company. He died in a plane crash with no heir.

He left behind a fortune of $10,500,000.00 USD in the bank. I want to present you as the next of kin so we can split the money 50/50.

Please reply with your Full Name, Bank Account, and Phone Number immediately.

God Bless, Barrister John Smith",1
<notifications@cybrary.it> ,"Cloud Security = the most sought-after specialization in cybersecurity.
Why?
Organizations continue to migrate to platforms such as Amazon Web Services, Microsoft Azure, and Google Cloud Platform, exposing themselves to risks including identity management, data exposure, misconfiguration, and third-party access. Professionals who understand the shared responsibility model of cloud services—and can design, monitor, and enforce security policies within those environments—are in high demand.

Foundational Concepts You Need to Know:
Identity and Access Management
Network Security Groups
Key Management Services
Cloud-Native Monitoring Tools
Hands-on Training to Build Your Skills:
implement identity and access management
Learn More
Perform Automatic Remediation by Using an AWS Config Rule
Learn More
Configure Azure Virtual Networking
Learn More
Recommended Certifications to Validate Your Skills:
CCSP
Learn More
AWS Certified Security Specialty
Learn More
Microsoft Azure Administrator
Learn More
Are you energized by infrastructure design and risk mitigation at scale?

 

Learn more about specializing in cloud security.

Learn More
LPP
Email Footer
LinkedIn
Twitter
Instagram
Facebook
Cybrary

Copyright © 2025. All rights reserved.

12345 Parklawn Drive, Suite 200, #1085, Rockville,MD, 20852

Unsubscribe Manage Preferences",0
 European Global <neha@edureka.co>,"Hi Learner,

 

As the year comes to a close, it’s the perfect time to invest in a credential that strengthens your leadership impact and global credibility.

 

Edureka, in collaboration with European Global Institute of Innovation & Technology, invites experienced professionals to apply for the Doctor of Business Administration (DBA), with an exclusive Year-End Scholarship of $500.",0
security@wells-fargo-alert-update.com,"Subject: 💊 Save 80% on Viagra, Cialis, Xanax today!

Body: Stop paying full price for your meds. We have the best quality generic pills direct from India. No prescription needed.

Viagra - $1.20

Cialis - $1.30

Weight Loss Pills

Discreet shipping. [ORDER HERE NOW]",1
reception@city-dental-clinic.com,"Subject: Appointment Reminder: Tuesday, Dec 23 at 10:00 AM

Body: Hi John,

This is a reminder for your dental cleaning appointment with Dr. Smith.

Time: Tuesday, Dec 23 @ 10:00 AM Location: 123 Main St, Suite 4.

If you need to reschedule, please call us 24 hours in advance.

See you soon, City Dental Team",0
reception@city-dental-clinic.com,"Subject: Appointment Reminder: Tuesday, Dec 23 at 10:00 AM

Body: Hi John,

This is a reminder for your dental cleaning appointment with Dr. Smith.

Time: Tuesday, Dec 23 @ 10:00 AM Location: 123 Main St, Suite 4.

If you need to reschedule, please call us 24 hours in advance.

See you soon, City Dental Team",0
security@wells-fargo-alert-update.com,"Subject: DEAR CUSTOMER: YOUR ACCOUNT SUSPENDED !!

Body: Dear User,

We detect irregular activity on your bank account. For your safe, we have lock your funds.

You must click the link below to verify identity or account will be deleted permanently.

[Unlock Account]

Thank you, Bank Management",1
mrs.robinson@lincoln-high-school.edu,"Subject: Homework for the weekend

Body: Hi Class,

Don't forget to read Chapter 4 of the history textbook before Monday. We will have a short quiz.

Have a great weekend!

Mrs. Robinson",0
best-meds-online-77@cheap-pills.biz,"Subject: 💊 Save 80% on Viagra, Cialis, Xanax today!

Body: Stop paying full price for your meds. We have the best quality generic pills direct from India. No prescription needed.

Viagra - $1.20

Cialis - $1.30

Weight Loss Pills

Discreet shipping. [ORDER HERE NOW]",1
reception@city-dental-clinic.com,"Subject: Appointment Reminder: Tuesday, Dec 23 at 10:00 AM

Body: Hi John,

This is a reminder for your dental cleaning appointment with Dr. Smith.

Time: Tuesday, Dec 23 @ 10:00 AM Location: 123 Main St, Suite 4.

If you need to reschedule, please call us 24 hours in advance.

See you soon, City Dental Team",0
hiring-manager-99@mystery-jobs-usa.net,"Subject: PART TIME JOB OFFER: Earn $400 per assignment!!

Body: DEAR CANDIDATE,

We are looking for ""Secret Shoppers"" in your area to evaluate service at Walmart and CVS. You will receive a check for $2,000. You keep $400 as your salary and use the rest to buy gift cards for the evaluation.

REQUIREMENTS:

Honest and Reliable

Can start immediately

Reply with your Full Address to receive your first check.",1
notifications@public-library.org,"Subject: Items due soon: ""The Great Gatsby""

Body: Hello,

This is a courtesy reminder that the following items are due back at the Main Street Library on Dec 21, 2025.

Title: The Great Gatsby Author: F. Scott Fitzgerald Due Date: 12/21/2025

Please return them to the drop box to avoid a fine of $0.25 per day.",0
steve.miller@vendor-supplies.com,"Body: Hi Alex,

Just following up on the invoice below.

Important Update: Our bank is currently undergoing a semi-annual audit, so our regular USD account is frozen for 48 hours.

Please send this specific payment to our subsidiary account instead to avoid shipment delays. I have attached the new wiring instructions.

Thanks, Steve

> On Dec 20, 2025, Alex wrote: ""Thanks Steve, I received the invoice...""",1
steve.miller@vendor-supplies.com,"Body: Hi Alex,

Our accounting team noticed you underpaid the last invoice by $0.50 due to a currency conversion error.

Don't worry about wiring it separately. We will just add it to the January invoice as a line item. Just wanted to give you a heads up so your records match ours.

Best, Steve",0
hr-noreply@[your-company].com,"Body: Hi Alex,

It's almost tax season! Please let us know if you would like to receive your 2025 tax forms electronically or via mail.

To set your preference, please log in to our Workday portal as you normally would through the company intranet or SSO dashboard.

Do not click links in emails to provide sensitive data; always use your bookmarked internal links.

Thanks, HR Operations",0
super-deals-4u@best-online-shopping.top,"Body: Hello!!!

You have been selected for our clearance sale! Original Ray-Ban Sunglasses: ~~$200~~ now only $19.99!

Limited stock! Click the link below to buy now before they are all gone!

[BUY NOW - 90% DISCOUNT]",1
orders@amazon.com,"Body: Hi Alex,

Thank you for your order. We’ll send a confirmation when your items ship.

Order Details:

1x USB-C Charging Cable - $12.99

1x AA Batteries (24 Pack) - $15.50

Total: $28.49 Deliver to: 123 Main St, Taipei.",0
khushjyot <khushjyot.b@mygreatlearning.com>,"Hi Kelvin, 
I hope you are having a great week!

I'm writing to inform you that your Black Friday offer for MIT Professional Education's No Code AI and Machine Learning Program is expiring in 1 day.

By claiming it now, you can enjoy a USD 350 fee waiver and join the program for USD 2850 2500.

Complete your application today to claim your offer.

If you have any questions about the program or the offer, please reach out to me by scheduling a call.

Best Regards,
khushjyot
Program Advisor, Great Learning
For the No Code AI and Machine Learning: Building Data Science Solutions Program",1
