domain,message,label
中國信託銀行 <service@ctbcbank.com>,"主旨：中國信託銀行【消費通知】

親愛的客戶 您好，

台端卡號末四碼 8821 於 12/11 14:30 消費新台幣 1,200 元。

交易地點：星巴克 (Starbucks)。

如對消費有疑義，請致電客服專線 0800-024-365。 本信件由系統自動發送，請勿直接回信。",0
alert-security-banking-group@yahoo.com.tw,【緊急通知】您的國泰世華帳戶顯示異常登入。請務必在 12 小時內點擊連結驗證身分，否則帳戶將被永久凍結。,1
investment-guru-lin-assistant@gmail.com,你好！我是林老師的助理。老師最新的【飆股群組】正在招收學員，保證獲利 20% 以上！名額有限，趕快加賴了解。,1
service@post-office-delivery-fail.net,最後通知：您的包裹因地址不詳無法投遞。請支付關稅 NT$50 以重新安排配送，否則將退回發件人。,1
tax-refund-service@mof-gov-service.com,"【退稅通知】根據稅務結算，您有一筆 NT$6,000 的退稅款項尚未領取。請點擊連結確認網銀資料以便撥款。",1
fast-loan-approval-online@hotmail.com,免聯徵、免保人！快速借貸 10-50 萬，當日撥款。信用瑕疵可辦，急需用錢請回信。,1
no-reply@momo.com.tw,訂單確認：感謝您在 momo 購物網消費。您的訂單 #2201992 已成立，預計 24 小時內出貨。,0
ris@ris.gov.tw,預約完成通知：您已成功預約「國民身分證換發」。請於 2025-12-15 上午 10:00 攜帶舊證至大安區戶政事務所。,0
c.wang@tsmc.com,"Team, 附件是下週一產能會議的簡報初稿。請大家確認第 7 頁的良率數據是否正確，謝謝。",0
bill@taipower.com.tw,"台灣電力公司 113年11月電子帳單通知。本期電費 NT$1,280 元，繳費期限至 12/20 止。",0
xiaomei1995@gmail.com,欸，這禮拜六晚上要不要去吃火鍋？那間新的麻辣鍋好像不錯，我先訂位囉？,0
line-support-login-check@yahoo.com.tw,【LINE 安全警告】您的帳號在其他裝置登入。若非本人操作，請立即點擊連結更改密碼，以免帳號被盜。,1
admin@health-insurance-refund-gov.com,"衛福部通知：您的健保費有溢繳情況，共計 NT$3,200 可申請退費。請點此輸入帳戶資料，款項將於兩個工作天內入帳。",1
customer-service-shopee-seller@gmail.com,親愛的蝦皮賣家，您的賣場因違反規定即將被停權。請加專員的 LINE ID: shopee_help_88 進行申訴。,1
free-iphone-giveaway-promo@hotmail.com,恭喜！您被選為今日幸運兒。只要填寫問卷，就有機會免費獲得 iPhone 15 Pro Max。只需支付運費 NT$100。,1
traffic-fine-payment-center@outlook.com,【監理站通知】您有一筆國道通行費未繳，金額 NT$50。請在今天內繳納，以免產生高額罰款。,1
service@uber.com,感謝您搭乘 Uber。您的行程費用為 NT$250。行程：台北車站到信義區。若需要收據請至 App 下載。,0
hr@fubon.com,全體同仁請注意，本年度員工健康檢查將於下週開始報名。請至公司內部網頁查詢合作醫院名單。,0
library@ntu.edu.tw,【圖書館通知】您預約的書籍《人工智慧導論》已到館，請於 12/18 前至總圖書館櫃台取書。,0
booking@agoda.com,預訂確認：感謝您預訂台南晶英酒店。入住日期：2026/01/05。訂單編號：55291022。,0
mama1960@gmail.com,兒子，週末如果不忙的話，回家吃個飯吧？爸爸去市場買了你愛吃的魚。再跟我說一聲喔。,0
garena-account-security@gmail.com,【Garena 安全中心】您的英雄聯盟帳號涉嫌使用外掛，即將被永久封鎖。若非本人操作，請立即登入申訴以保留帳號。,1
cryptocurrency-investment-group@line-invite.net,比特幣大漲！錯過這次再等十年。加入我們的VIP群組，張老師帶你飛，每日獲利 15% 起跳。點此加入 Line 群組。,1
fake-friend-guess-who@yahoo.com.tw,好久不見！換了手機號碼就找不到你了。猜猜我是誰？我是你以前的老同學啦，加一下我的新 LINE ID：amy5201314。,1
online-casino-bonus@betting-win-rich.com,娛樂城週年慶！註冊就送體驗金 1000 元，提領無上限。真人百家樂、老虎機，天天返水 2%。,1
taipower-bill-unpaid-notice@outlook.com,【電費催繳】您的住家用電費用未繳納，將於明日斷電。請勿理會紙本帳單，直接使用此線上連結繳費以免斷電。,1
service@foodpanda.com.tw,您的 foodpanda 訂單已送達！餐點：麥當勞雙層牛肉吉事堡套餐 x2。總金額：NT$ 350。感謝您的訂購。,0
admin@kkbox.com,付款成功通知：KKBOX 無損音質個人方案（月租）。金額 NT$ 299。感謝您支持正版音樂。,0
professor.lin@ncku.edu.tw,各位同學好，因為老師這週五要參加學術研討會，原定上午 10 點的「微積分」課程暫停一次，補課時間再另行通知。,0
alert@ctbcbank.com,中國信託網路銀行登入通知：您的帳號於 12/11 15:30 成功登入。若非本人操作，請立即致電客服。,0
reservations@opentable.com.tw,訂位確認：您已成功預訂「響食天堂 (信義店)」。時間：2025/12/24 19:00。人數：4 位。,0
promo@shopee.tw,【雙11狂歡】全站免運費！！！iPhone 15 Pro 下殺 5 折！只有今天！快點進來搶購，手慢就沒了！！！,0
manager.wang.business@gmail.com,在嗎？我現在在開會不方便講電話。你幫我查一下公司的統編和帳戶餘額？客戶急著要。,1
alert@npa.gov.tw,【內政部警政署公告】近期「解除分期付款」詐騙案件頻傳。請民眾注意：ATM 只能提款，無法解除扣款設定，請勿受騙。,0
service@etc-highway-gov-payment.com,【監理站通知】您有一筆國道通行費 NT$58 未繳。請於今日午夜前線上補繳，以免產生罰款。,1
no-reply@accounts.google.com,安全性快報：您的 Google 帳號剛剛在 Windows 裝置上登入。地點：美國維吉尼亞州。若這不是您，請立即變更密碼。,0
hr-support@line-salary-system.net,【薪資單通知】2025 年 12 月份薪資明細已上傳。請點擊連結登入公司系統查看。請注意：系統將於今晚維修。,1
game_master@garena.tw,【停權通知】系統偵測到您的帳號在遊戲中使用非法程式（外掛）。您的帳號已被永久停權。如需申訴請聯繫客服。,0
cute.yating88@yahoo.com.tw,猜猜我是誰？我是你以前的高中同學啦！換了手機號碼就找不到你了。加一下我的新 LINE ID：amy_sweet_99。,1
billing@cht.com.tw,"中華電信電子帳單通知：您的 11 月份電信費共 NT$1,399 元。扣款日期：12/25。感謝您的使用。",0
refund-service@tax-mof-gov.net,"【退稅通知】財政部公告：您有一筆綜合所得稅退稅款項 NT$3,800 尚未領取。請點此確認受款帳戶。",1
promo@shopee.tw,【雙11狂歡】全站免運費！！！iPhone 15 Pro 下殺 5 折！只有今天！快點進來搶購，手慢就沒了！！！,0
alert@npa.gov.tw,【內政部警政署公告】近期「解除分期付款」詐騙案件頻傳。請民眾注意：ATM 只能提款，無法解除扣款設定，請勿受騙。,0
billing@cht.com.tw,"中華電信電子帳單通知：您的 11 月份電信費共 NT$1,399 元。扣款日期：12/25。感謝您的使用。",0
alert@cwb.gov.tw,【地震報告】12/11 16:05 發生顯著有感地震，震央位於花蓮縣政府東北方，規模 5.2。請慎防餘震。,0
service@ubereats.com,買一送一優惠來了！訂購珍珠奶茶享半價優惠。優惠碼：BUBBLE50。期限至今日午夜。,0
manager.wang.business@gmail.com,在嗎？我現在在開會不方便講電話。你幫我查一下公司的統編和帳戶餘額？客戶急著要。,1
service@etc-highway-gov-payment.com,【監理站通知】您有一筆國道通行費 NT$58 未繳。請於今日午夜前線上補繳，以免產生罰款。,1
hr-support@line-salary-system.net,【薪資單通知】2025 年 12 月份薪資明細已上傳。請點擊連結登入公司系統查看。請注意：系統將於今晚維修。,1
cute.yating88@yahoo.com.tw,猜猜我是誰？我是你以前的高中同學啦！換了手機號碼就找不到你了。加一下我的新 LINE ID：amy_sweet_99。,1
admin@nhi-gov-health-card.com,【健保署通知】您的健保卡因違規使用異常，即將被鎖卡。請按 9 轉接專人，或點擊連結進行線上驗證，以免影響就醫權益。,1
Norton 诺顿官方商城 <noreply@norton.com>,"尊敬的用户： 您的 Norton 360 进阶版 订阅已于 2025年12月15日 完成自动续费。

扣款金额： ¥ 298.00

支付方式： 支付宝 (尾号 1234)

您可以登录 my.norton.com 查看订单详情或管理您的订阅设置。

谢谢， 诺顿团队",0
账单中心 <service@antivirus-vip-renew-service.cc>,"感谢您的购买！ 系统已从您的银行账户中成功扣除 ¥ 2,999.00，用于购买“全方位电脑安全终身会员”。 如果您未授权此笔交易？ 如果您认为这是系统错误，请务必在 24小时内 联系我们的退款部门，否则我们将无法撤销该笔扣款。 立即致电客服：400-123-XXXX 或 [<u>点击此处申请全额退款</u>] 财务部 敬上",1
julia.zhang@marketing-agency.com,"主题: 日历邀请：Q4 市场策略复盘会

内容:

主题： Q4 市场策略复盘会 时间： 2025年12月18日 (周四) 上午 10:00 - 11:00 各位好， 我们需要过一下上个季度的活动数据。会议议程已附在日历文件中。 加入腾讯会议: https://meeting.tencent.com/dm/xxxx... 届时见， Julia",0
notification@teams-service-support.vip,"主题: 提醒：全员薪资结构调整说明会 (强制参加)

内容:

会议主题： 2025年度薪资与期权调整说明 时间： 会议即将开始... 您被邀请参加关于公司最新薪酬制度的闭门会议。该会议涉及您的切身利益，请务必参加。 入会须知： 由于会议内容的保密性，请点击下方按钮，使用企业账号验证身份后方可入会。 [ 👉 点击此处 加入会议 ] (链接指向：www.oa-system-login.xyz) 来自 Microsoft Teams 会议助手",1
notification@teams-service-support.vip,"主题: 提醒：全员薪资结构调整说明会 (强制参加)

内容:

会议主题： 2025年度薪资与期权调整说明 时间： 会议即将开始... 您被邀请参加关于公司最新薪酬制度的闭门会议。该会议涉及您的切身利益，请务必参加。 入会须知： 由于会议内容的保密性，请点击下方按钮，使用企业账号验证身份后方可入会。 [ 👉 点击此处 加入会议 ] (链接指向：www.oa-system-login.xyz) 来自 Microsoft Teams 会议助手",1
wang.jun@xiaomi.com,"主题: 审批通过：Q4 物流费用发票

内容:

Sarah，你好：

我已经审核了顺丰发来的这张发票，金额核对无误。

我已经在 OA系统 里点击了通过。请按照公司的标准流程（30天账期）安排付款。不着急，只是想在周末前把待办事项清空。

谢谢， 王军",0
wang.jun@xiaomi-capital-hk.com,"主题: 转发: 绝密 - “天际线”项目并购定金
Sarah，

(发自我的 iPhone) 看一下下面律师发来的邮件。

我现在在飞机上，连不上公司的内网OA系统。这笔定金必须在今天付出去，否则这个并购案会黄。

你特事特办，直接去银行走加急汇款。这件事还在保密期，暂时不要告诉办公室其他人。

办好后把水单发给我。

王军

---------- 转发的邮件 --------- 发件人: 张伟律师 (合伙人) zhang.wei@yingke-law-firm.net 日期: 2025年12月16日 上午 9:15 主题: 紧急：关于“天际线”项目的打款截止时间 收件人: 王军 wang.jun@xiaomi-capital-hk.com

王总，正如刚才电话里沟通的，卖方要求今天下午5点前必须收到45万定金，否则他们就终止谈判了。请务必确认...",1
caiwu@baosteel-group-sh.com,"款账户的函

内容:

财务部，您好：

关于即将支付的 85,000元 货款，请注意：

由于我司基本账户正在接受年度税务稽查，目前无法入账。为保证贵司货物能按时发出，本月请务必将款项汇入我司经理的特批授权账户（或子公司账户）。

新的汇款资料已附在 PDF 中。

请勿汇入旧账户，否则款项将被退回！付款后请立即截图给我。

财务总监 李强",1
caiwu@baosteel-group-sh.com,"款账户的函

内容:

财务部，您好：

关于即将支付的 85,000元 货款，请注意：

由于我司基本账户正在接受年度税务稽查，目前无法入账。为保证贵司货物能按时发出，本月请务必将款项汇入我司经理的特批授权账户（或子公司账户）。

新的汇款资料已附在 PDF 中。

请勿汇入旧账户，否则款项将被退回！付款后请立即截图给我。

财务总监 李强",1
caiwu@baosteel-group-sh.com,"主题: 紧急通知：关于变更收款账户的函

内容:

财务部，您好：

关于即将支付的 85,000元 货款，请注意：

由于我司基本账户正在接受年度税务稽查，目前无法入账。为保证贵司货物能按时发出，本月请务必将款项汇入我司经理的特批授权账户（或子公司账户）。

新的汇款资料已附在 PDF 中。

请勿汇入旧账户，否则款项将被退回！付款后请立即截图给我。

财务总监 李强",1
postmaster@company-name.com,"主题: 邮箱存储空间使用情况报告 (90%)

内容:

IT 服务台通知：

您的邮箱使用量已达到配额的 90%。

建议您清理“已发送邮件”或“垃圾邮件”文件夹以释放空间。如果需要申请扩容，请填写内部 OA 申请单或联系 IT 分机 8001。

谢谢。",0
system@webmail-service-verify.vip,"主题: 【最后警告】您的企业邮箱即将停止服务

内容:

邮件管理员通知：

系统检测到您的邮箱版本过低，且存在未同步的3封重要商务邮件。

由于安全升级，您的账户将在 今天下午 6:00 被限制接收功能。

请立即点击下方链接进行同步，以免丢失客户邮件：

[ 👉 立即同步/升级邮箱账户 ] (链接指向：www.qiye-mail-login-fake.com)

此为系统自动发送，请勿回复。",1
service@ctbc-bank-security-alert.xyz,"Body: 親愛的客戶您好：

我們偵測到您的帳戶有來自海外的異常登入嘗試。為了保障您的資金安全，我們已暫時凍結您的權限。

請於 24小時內 點擊下方連結進行身份驗證，否則帳戶將永久停權。

[點此立即解除凍結]

祝 順心 安全部門 敬上",1
service@ctbc-bank-security-alert.xyz,"Body: 親愛的客戶您好：

我們偵測到您的帳戶有來自海外的異常登入嘗試。為了保障您的資金安全，我們已暫時凍結您的權限。

請於 24小時內 點擊下方連結進行身份驗證，否則帳戶將永久停權。

[點此立即解除凍結]

祝 順心 安全部門 敬上",1
notification@ctbcbank.com,"Body: 親愛的客戶 陳小美 您好：

通知您，您的帳戶（末四碼 1234）於 12月16日 15:30 進行跨行轉帳存入，金額新台幣 5,000 元。

此郵件為系統自動發送，請勿直接回覆。若有疑問請洽客服中心。

中國信託銀行 敬上",0
support@post-delivery-express.net,"Subject: 您的包裹 #TW928374 已暫停配送

Body: 您好，

您的國際包裹因欠缺關稅費用 (新台幣 58 元)，目前滯留在海關。

請點擊下方連結支付費用，我們將在付款後恢復配送。

[支付關稅]

若逾期未付，包裹將被退回寄件人。",1
service@pchome.com.tw,"Subject: PChome 24h購物 訂單出貨通知 (訂單編號: 20251216001)

Body: 親愛的顧客您好：

感謝您的訂購！您的商品已於今日出貨，預計明日送達。

您可以透過以下連結查詢配送進度： [查詢訂單詳情]

感謝您的支持。",0
support@post-delivery-express.net,"Subject: 您的包裹 #TW928374 已暫停配送

Body: 您好，

您的國際包裹因欠缺關稅費用 (新台幣 58 元)，目前滯留在海關。

請點擊下方連結支付費用，我們將在付款後恢復配送。

[支付關稅]

若逾期未付，包裹將被退回寄件人",1
service@pchome.com.tw,"Subject: PChome 24h購物 訂單出貨通知 (訂單編號: 20251216001)

Body: 親愛的顧客您好：

感謝您的訂購！您的商品已於今日出貨，預計明日送達。

您可以透過以下連結查詢配送進度： [查詢訂單詳情]

感謝您的支持。",0
service@apple-id-cloud-invoice.net,"Subject: 【收據】您在 App Store 的訂閱項目已續訂 (NT$ 3,290)

Body: 親愛的用戶，

感謝您的訂閱。您的 ""Pro Video Editor"" 年度方案已自動續費成功。

扣款金額：NT$ 3,290

若這不是您本人的操作，或者您希望申請退款，請在 24 小時內登入支援中心取消訂單，以免無法退費。

[查看訂單詳情 / 申請退款]",1
ebill@taipower.com.tw,"Subject: 114年12月 電費電子帳單通知 (電號: 19-28-3812-11)

Body: 親愛的用戶您好：

本期電費金額：$1,245 元 繳費期限：2025/12/25

您的電費將於繳費期限當日由銀行帳戶自動扣款，請確認帳戶餘額充足。

附件：11412_bill.pdf (內含電子發票載具資訊)",0
customer-support@shopee-pay-error.com,"Subject: 【緊急】您的訂單 #8821 因系統錯誤變更為「批發商訂單」

Body: 親愛的顧客：

由於我們新進人員的操作疏失，不小心將您的單筆訂單誤設為 「連續12期分期扣款」。

今晚 12 點將會自動從您的帳戶扣除 NT$ 12,000。

請立即告知我們您使用的銀行，我們將請銀行專員協助您操作 ATM 解除分期設定。

客服專員 林小姐",1
investment.guru.888@hotmail.com,"Subject: 🤫 偷偷告訴你，下週這支股票會漲停！

Body: 朋友你好，

我是華爾街回來的分析師。上週帶會員買進台積電，獲利已超過 30%。

我手中還有兩檔 「主力秘密佈局」 的飆股，預計下週噴發。

點擊下方連結，免費加入我的 LINE 飆股群組，領取明牌： [加入群組領取飆股]

名額有限，送完為止！",1
wealth-management@esunbank.com.tw,"Subject: 【玉山財富管理】2025年第一季投資展望報告

Body: 親愛的貴賓 您好：

感謝您對玉山銀行的支持。附檔為本季度的全球市場分析報告，提供您參考。

美國聯準會利率決策分析

台灣半導體產業展望

警語：投資一定有風險，基金投資有賺有賠，申購前應詳閱公開說明書。",0
hr-manager-easy-job@yahoo.com,"Subject: 誠徵：兼職人員，在家工作，日領 3000

Body: 您好，

我們是跨國博弈公司，因業務擴張，需要租借台灣銀行帳戶進行轉帳節稅。

工作內容： 提供閒置銀行帳戶/提款卡 薪資： 租金每日 NT$ 3,000 - 5,000 (當日結算)

只要寄出提款卡，無需工作，輕鬆賺錢。意者加 LINE。",1
comments-noreply@docs.google.com (Real Google Address),"Subject: 財務報表_Final.docx - ""Financial Support"" 在文件中提到了您

Body: Financial Support 在以下文件中提到了您：

「您好，您的加密貨幣帳戶有一筆 $3,500 美金的待領取款項。請立即點擊連結確認錢包地址，否則將於 24 小時內失效：[惡意連結]」

[回覆] [開啟]",1
comments-noreply@docs.google.com,"Subject: 2025_Q1_行銷預算表 - ""王小美 (Amy Wang)"" 在文件中提到了您

Body: 王小美 (Amy Wang) 在文件中提到了您：

「@David，請確認一下這頁的活動場地費是否包含稅金？謝謝。」

[回覆] [開啟]",0
noreply@email.teams.microsoft.com,"Subject: 您有一則來自 陳經理 (Manager Chen) 的語音留言

Body: Microsoft Teams

陳經理 (Manager Chen) 留了一則語音訊息給您。 長度：23 秒

轉錄文字 (預覽)： 「Hi David，剛開會提到的那個合約，麻煩下午五點前寄給我確認一下，謝啦。」

[在 Teams 中播放]",0
billing@godaddy.com (or PChome / 網路中文),"Subject: 自動續約通知：https://www.google.com/search?q=your-company.com

Body: 親愛的客戶：

提醒您，您的網域將於 2026/01/15 自動續約。

續約項目： .com 網域 (1年) 金額： NT$ 550

費用將從您的預設信用卡扣除。

[管理我的產品]",0
billing@godaddy.com (or PChome / 網路中文),"Subject: 自動續約通知：https://www.google.com/search?q=your-company.com

Body: 親愛的客戶：

提醒您，您的網域將於 2026/01/15 自動續約。

續約項目： .com 網域 (1年) 金額： NT$ 550

費用將從您的預設信用卡扣除。

[管理我的產品]",0
info@dns-registry-center.org,"Subject: 網域續約通知：https://www.google.com/search?q=your-company.com.tw (急件)

Body: 敬啟者：

這是您網域 https://www.google.com/search?q=your-company.com.tw 的最後續約通知。若未在期限內付款，您的線上搜尋排名可能會受影響。

期限：1 年 金額：NT$ 8,500

[前往付款]

頁尾小字：這是一份搜尋引擎優化 (SEO) 的行銷報價單，並非網域註冊帳單。",1
no-reply@teams-voicemail-service.net,"Subject: 您有一則來自 +886 912-- 的未接留言

Body: PBX 語音系統

您有一則新的語音留言 (長度: 0:34)。

「喂？張先生嗎？我是銀行信貸部的，關於您申請的...」

[點此收聽完整留言]

注意：連結將於 15 分鐘後失效。",1
receipts@uber.com,"Subject: 您的週五晚間行程 (前往 台北車站)

Body: 感謝您搭乘 Uber。

行程費用： NT$ 250 日期： 12月18日 下午 6:30 車牌號碼： RAA-1234 司機： 王先生

收據已自動存入您的帳戶。",0
sales@dyson-clearance-sale.xyz,"Subject: Dyson 吸塵器只要 1 折！工廠倒閉出清

Body: 老闆跑路了！工廠倒閉，最後一批貨含淚出清。

原價 $18,900 的 Dyson 吸塵器，現在只要 $1,988！ 只有今天，賣完為止。

貨到付款，七天鑑賞期。 [點擊搶購]",1
loan-manager-888@gmail.com,"Subject: 【急用錢找我】不看聯徵，當日撥款 30 萬

Body: 你好，

我是陳代書。 缺錢嗎？銀行貸不過嗎？

✅ 免保人 ✅ 不看聯徵 (信用瑕疵可) ✅ 最快 2 小時撥款

只要有身分證，額度 5-50 萬隨你借。 加賴詢問：money999",1
hr@company.com.tw,"Subject: 公告：2026年元旦放假通知

Body: 各位同仁好，

依據行政院人事行政總處行事曆，2026年1月1日 (週四) 為元旦國定假日，全體休假一天。

請大家在放假前確認電腦電源已關閉。 預祝大家新年快樂！",0
home-jobs-recruit@gmail.com,"Subject: 誠徵：手機打字員，在家工作，當日領薪

Body: 【急徵】文字輸入人員 不限年齡，不限地點，只要會用手機打字即可。

工作內容： 幫商家輸入訂單資料 薪資： 論件計酬，每單 50 元 (平均日薪 2000-5000) 領薪方式： 每日轉帳

名額有限，想賺錢的加賴：easy_money_888",1
